type_value,pp_code,parking_pl_value,x,y,destination,no_of_lots
CAR LOTS,P0093,PASIR PANJANG ROAD OFF STREET,1.27662634985596,103.795707366176,"(1.27662634985596, 103.795707366176)",28
CAR LOTS,A0046,ALJUNIED ROAD OFF STREET,1.31381096043665,103.88172686135,"(1.31381096043665, 103.88172686135)",13
CAR LOTS,H0057,HINDOO ROAD / KAMPONG KAPOR ROAD OFF STREET,1.30785626947704,103.85452027497,"(1.30785626947704, 103.85452027497)",13
CAR LOTS,S0127,SERVICE ROAD OFF JOO CHIAT ROAD,1.30649874502258,103.904647667351,"(1.30649874502258, 103.904647667351)",12
CAR LOTS,N0006,NEIL ROAD OFF STREET,1.27918443617309,103.841865824971,"(1.27918443617309, 103.841865824971)",15
CAR LOTS,S0064,SERANGOON GARDEN WAY SERVICE ROAD,1.36335340692304,103.865885056509,"(1.36335340692304, 103.865885056509)",84
CAR LOTS,P0109,PASIR RIS PARK CAR PARK E OFF STREET,1.38444051098452,103.943690796367,"(1.38444051098452, 103.943690796367)",37
CAR LOTS,P0075,PENHAS ROAD / LAVENDER STREET OFF STREET,1.30983159286094,103.862705962464,"(1.30983159286094, 103.862705962464)",29
CAR LOTS,M0015,MOHAMED SULTAN  ROAD,1.29101142891671,103.839051479321,"(1.29101142891671, 103.839051479321)",107
CAR LOTS,P0048,PEARL BANK OFF STREET,1.28323167882736,103.840465094951,"(1.28323167882736, 103.840465094951)",36
CAR LOTS,L0116,LORONG 21 GEYLANG / GEYLANG ROAD OFF STREET,1.31291994805886,103.880362793375,"(1.31291994805886, 103.880362793375)",29
CAR LOTS,U0040,UPPER ALJUNIED LINK OFF STREET,1.33436891319766,103.882297717906,"(1.33436891319766, 103.882297717906)",15
CAR LOTS,J0092,JALAN KURAS OFF STREET,1.37322688101165,103.828763275308,"(1.37322688101165, 103.828763275308)",60
CAR LOTS,K0111,KINTA ROAD OFF STREET,1.30936587971973,103.853490267369,"(1.30936587971973, 103.853490267369)",133
CAR LOTS,B0087,BAGHDAD STREET OFF STREET,1.30114703510885,103.860388827821,"(1.30114703510885, 103.860388827821)",33
