type_value,pp_code,parking_pl_value,x,y,destination,no_of_lots
MYCYCLE LOTS,W0029,WEST COAST PARK 1 OFF STREET,1.28933526405876,103.771751600828,"(1.28933526405876, 103.771751600828)",10
MYCYCLE LOTS,U0036,UPPER EAST COAST ROAD OFF STREET,1.31251542095362,103.925931447311,"(1.31251542095362, 103.925931447311)",11
MYCYCLE LOTS,S0108,SHREWSBURY ROAD OFF STREET,1.3185706259051,103.850517041168,"(1.3185706259051, 103.850517041168)",5
MYCYCLE LOTS,P0094,PASIR PANJANG ROAD / SOUTH BUONA VISTA ROAD,1.27869219653804,103.785594841628,"(1.27869219653804, 103.785594841628)",15
MYCYCLE LOTS,S0055,SERANGOON GARDEN MARKET OFF STREET,1.36281354826679,103.866562205315,"(1.36281354826679, 103.866562205315)",43
MYCYCLE LOTS,K0009,KERBAU ROAD,1.30683633774335,103.851428762032,"(1.30683633774335, 103.851428762032)",3
MYCYCLE LOTS,L0028,LORONG 21 GEYLANG,1.31306924595743,103.880171486921,"(1.31306924595743, 103.880171486921)",7
MYCYCLE LOTS,Y0019,YAN KIT ROAD / CANTONMENT ROAD OFF STREET,1.27435787260008,103.84141578897,"(1.27435787260008, 103.84141578897)",8
MYCYCLE LOTS,L0064,LORONG 21 GEYLANG OFF STREET,1.31361688400068,103.879728364824,"(1.31361688400068, 103.879728364824)",14
MYCYCLE LOTS,K0032,KENSINGTON PARK ROAD OFF STREET,1.36480526021676,103.866368763678,"(1.36480526021676, 103.866368763678)",25
MYCYCLE LOTS,Q0007,QUEEN STREET / ROCHOR ROAD OFF STREET,1.30130010243748,103.855813737345,"(1.30130010243748, 103.855813737345)",47
MYCYCLE LOTS,J0099,JALAN BAHAR HEAVY VEHICLE PARK,1.34824186597477,103.703452377178,"(1.34824186597477, 103.703452377178)",36
MYCYCLE LOTS,M0017,MIDDLE ROAD OFF STREET,1.30176745152254,103.85074889791,"(1.30176745152254, 103.85074889791)",2
MYCYCLE LOTS,L0029,LOK YANG WAY,1.32463416108371,103.694714024089,"(1.32463416108371, 103.694714024089)",45
MYCYCLE LOTS,V0001,VEERASAMY ROAD,1.30708143539738,103.854807079433,"(1.30708143539738, 103.854807079433)",5
MYCYCLE LOTS,H0056,HOSPITAL DRIVE CAR PARK B OFF STREET,1.27890659859826,103.8377393961,"(1.27890659859826, 103.8377393961)",14
MYCYCLE LOTS,R0011,ROBERTS LANE,1.3101904550708,103.853925295467,"(1.3101904550708, 103.853925295467)",6
MYCYCLE LOTS,B0088,BEDOK ROAD FOOD CENTRE OFF STREET,1.32045943258979,103.955176657417,"(1.32045943258979, 103.955176657417)",16
MYCYCLE LOTS,S0109,SIN MING ROAD HEAVY VEHICLE PARK,1.35686550360125,103.838243533126,"(1.35686550360125, 103.838243533126)",17
MYCYCLE LOTS,C0133,CARPENTER STREET OFF STREET,1.28798881539232,103.848187308598,"(1.28798881539232, 103.848187308598)",9
MYCYCLE LOTS,J0092,JALAN KURAS OFF STREET,1.3733385084065,103.828714540163,"(1.3733385084065, 103.828714540163)",8
MYCYCLE LOTS,L0013,LORONG 6 GEYLANG,1.30911834087456,103.876783071776,"(1.30911834087456, 103.876783071776)",6
MYCYCLE LOTS,L0013,LORONG 6 GEYLANG,1.30911834087456,103.876783071776,"(1.30911834087456, 103.876783071776)",6
MYCYCLE LOTS,L0115,LORONG 1 GEYLANG ROAD OFF STREET,1.31045960917583,103.871843474585,"(1.31045960917583, 103.871843474585)",6
MYCYCLE LOTS,L0015,LORONG 8 GEYLANG,1.3093102857622,103.877357798995,"(1.3093102857622, 103.877357798995)",4
MYCYCLE LOTS,L0016,LORONG 9 GEYLANG,1.31266866162009,103.8764601144,"(1.31266866162009, 103.8764601144)",1
MYCYCLE LOTS,G0037,GENTING LANE OFF STREET,1.32512686472429,103.878077892673,"(1.32512686472429, 103.878077892673)",12
MYCYCLE LOTS,N0010,NIVEN ROAD,1.30390643551138,103.849615121413,"(1.30390643551138, 103.849615121413)",5
MYCYCLE LOTS,L0033,LORONG 24 GEYLANG,1.31202101746931,103.883309389082,"(1.31202101746931, 103.883309389082)",5
MYCYCLE LOTS,K0114,KAMPONG BUGIS,1.3085396461016,103.8658704283,"(1.3085396461016, 103.8658704283)",5
MYCYCLE LOTS,L0035,LORONG 25 GEYLANG,1.31412402715629,103.882590767207,"(1.31412402715629, 103.882590767207)",4
MYCYCLE LOTS,E0027,EAST COAST PARK E1 OFF STREET,1.30585787442426,103.92933604314,"(1.30585787442426, 103.92933604314)",23
MYCYCLE LOTS,J0095,JALAN LEBAN SERVICE ROAD,1.37142730863255,103.828958947941,"(1.37142730863255, 103.828958947941)",5
MYCYCLE LOTS,L0107,LORONG BACHOK OFF STREET,1.31360331981694,103.879562622616,"(1.31360331981694, 103.879562622616)",6
MYCYCLE LOTS,D0026,DICKSON ROAD OFF STREET,1.30571453942063,103.853763615773,"(1.30571453942063, 103.853763615773)",6
MYCYCLE LOTS,D0028,DELTA CIRCUS FRINGE CARPARK,1.28870522572214,103.824879197052,"(1.28870522572214, 103.824879197052)",40
MYCYCLE LOTS,U0035,UPPER SERANGOON ROAD (BARTLEY ROAD JUNTION),1.34478448120877,103.871043154284,"(1.34478448120877, 103.871043154284)",8
MYCYCLE LOTS,K0118,KAMPONG JAVA FRINGE CAR PARK,1.31126860312542,103.845046966463,"(1.31126860312542, 103.845046966463)",5
MYCYCLE LOTS,S0111,STAGMONT RING HEAVY VEHICLE PARK,1.39135883152987,103.753797769039,"(1.39135883152987, 103.753797769039)",37
MYCYCLE LOTS,M0032,MARSILING CRESCENT,1.44754411859943,103.77434769351,"(1.44754411859943, 103.77434769351)",14
MYCYCLE LOTS,T0140,TANJONG KATONG ROAD OFF STREET,1.30670307594592,103.896173076883,"(1.30670307594592, 103.896173076883)",21
MYCYCLE LOTS,S0106,SIN MING DRIVE OFF STREET,1.35641576667235,103.836049394588,"(1.35641576667235, 103.836049394588)",20
MYCYCLE LOTS,L0020,LORONG 13 GEYLANG,1.31359847893835,103.877362940843,"(1.31359847893835, 103.877362940843)",1
MYCYCLE LOTS,T0017,TIONG BAHRU PARK OFF STREET,1.28685783982366,103.824889584875,"(1.28685783982366, 103.824889584875)",5
MYCYCLE LOTS,L0022,LORONG 15 GEYLANG,1.31271477737075,103.878424638603,"(1.31271477737075, 103.878424638603)",4
MYCYCLE LOTS,L0053,LORONG 41 GEYLANG,1.31655291674971,103.891158086873,"(1.31655291674971, 103.891158086873)",4
MYCYCLE LOTS,L0049,LORONG 37 GEYLANG,1.31571894636546,103.889668187043,"(1.31571894636546, 103.889668187043)",3
MYCYCLE LOTS,T0065,TAGORE ROAD,1.38292787199704,103.827856469477,"(1.38292787199704, 103.827856469477)",16
MYCYCLE LOTS,J0020,JOO KOON ROAD,1.32553950873836,103.669381145941,"(1.32553950873836, 103.669381145941)",10
MYCYCLE LOTS,L0039,LORONG 27A  GEYLANG,1.31388147558066,103.88460814648,"(1.31388147558066, 103.88460814648)",4
MYCYCLE LOTS,L0043,LORONG 31 GEYLANG,1.31448505054292,103.886984968531,"(1.31448505054292, 103.886984968531)",2
MYCYCLE LOTS,L0032,LORONG 23 GEYLANG,1.31334433625453,103.881457744006,"(1.31334433625453, 103.881457744006)",8
MYCYCLE LOTS,F0029,FORT ROAD / EAST COAST PARK HEAVY VEHICLE PARK,1.29481947209758,103.883823233934,"(1.29481947209758, 103.883823233934)",22
MYCYCLE LOTS,O0027,ONAN ROAD,1.31512912734807,103.89748298174,"(1.31512912734807, 103.89748298174)",5
MYCYCLE LOTS,R0036,RACE COURSE ROAD (BET BUKIT TIMAH ROAD / RANGOON ROAD),1.30821724123033,103.850782844484,"(1.30821724123033, 103.850782844484)",8
MYCYCLE LOTS,S0112,SEAH IM ROAD OFF STREET,1.26758051300637,103.818633764306,"(1.26758051300637, 103.818633764306)",367
MYCYCLE LOTS,G0027,GUL AVENUE,1.31477798168519,103.667097566796,"(1.31477798168519, 103.667097566796)",3
MYCYCLE LOTS,L0037,LORONG 26 GEYLANG,1.3119459977371,103.884859831926,"(1.3119459977371, 103.884859831926)",6
MYCYCLE LOTS,A0034,ANAMALAI AVENUE,1.33034361724479,103.794947563388,"(1.33034361724479, 103.794947563388)",15
MYCYCLE LOTS,T0115,TELOK KURAU ROAD,1.30817291219616,103.912518770013,"(1.30817291219616, 103.912518770013)",3
MYCYCLE LOTS,P0033,PASIR RIS CLOSE OFF STREET,1.37576861198016,103.956409215665,"(1.37576861198016, 103.956409215665)",64
MYCYCLE LOTS,W0046,WOODLANDS INDUSTRIAL PARK E1,1.45395402221242,103.796272694937,"(1.45395402221242, 103.796272694937)",19
MYCYCLE LOTS,W0034,WOODLANDS SECTOR 1,1.45338319136825,103.805081857948,"(1.45338319136825, 103.805081857948)",20
MYCYCLE LOTS,L0021,LORONG 14 GEYLANG,1.31064621004885,103.879318466849,"(1.31064621004885, 103.879318466849)",8
MYCYCLE LOTS,Q0006,QUEEN STREET OFF STREET,1.29989460054949,103.853094695649,"(1.29989460054949, 103.853094695649)",19
MYCYCLE LOTS,S0075,SCIENCE CENTRE ROAD,1.33025800217575,103.738562894199,"(1.33025800217575, 103.738562894199)",15
MYCYCLE LOTS,S0075,SCIENCE CENTRE ROAD,1.33025800217575,103.738562894199,"(1.33025800217575, 103.738562894199)",15
MYCYCLE LOTS,S0075,SCIENCE CENTRE ROAD,1.33025800217575,103.738562894199,"(1.33025800217575, 103.738562894199)",15
MYCYCLE LOTS,C0057,CASUARINA ROAD,1.37714857894595,103.827979510832,"(1.37714857894595, 103.827979510832)",6
MYCYCLE LOTS,A0048,ANG MO KIO STREET 63,1.38552495568417,103.848174636227,"(1.38552495568417, 103.848174636227)",10
MYCYCLE LOTS,C0151,CHANGI BEACH CAR PARK 1,1.39151063501209,103.989723881097,"(1.39151063501209, 103.989723881097)",11
MYCYCLE LOTS,H0003,HAMILTON ROAD OFF STREET,1.31152545997846,103.8618995219,"(1.31152545997846, 103.8618995219)",3
MYCYCLE LOTS,L0004,LORONG 4 GEYLANG,1.31127416634666,103.87586160493,"(1.31127416634666, 103.87586160493)",8
MYCYCLE LOTS,T0066,TAGORE INDUSTRIAL AVENUE,1.38323677350477,103.828097346276,"(1.38323677350477, 103.828097346276)",9
MYCYCLE LOTS,J0112,JALAN GELENGGANG,1.37333204549321,103.83017192817,"(1.37333204549321, 103.83017192817)",4
MYCYCLE LOTS,E0023,EAST COAST PARK E3 OFF STREET,1.30839719409473,103.936163085717,"(1.30839719409473, 103.936163085717)",2
MYCYCLE LOTS,C0153,CHANGI BEACH CAR PARK 3,1.39053507151687,103.992569807838,"(1.39053507151687, 103.992569807838)",13
MYCYCLE LOTS,L0034,LORONG 24A GEYLANG,1.31311434150665,103.883980573219,"(1.31311434150665, 103.883980573219)",4
MYCYCLE LOTS,S0098,SIMS AVENUE (BET LOR 3 GEYLANG/PAYA LEBAR RD),1.31345743280327,103.87594293628,"(1.31345743280327, 103.87594293628)",16
MYCYCLE LOTS,L0019,LORONG 12 GEYLANG,1.31009422868422,103.878518209658,"(1.31009422868422, 103.878518209658)",7
MYCYCLE LOTS,M0015,MOHAMED SULTAN  ROAD,1.29110428745192,103.838980399475,"(1.29110428745192, 103.838980399475)",29
MYCYCLE LOTS,L0058,LIM TUA TOW ROAD OFF STREET,1.35369684019925,103.877365680584,"(1.35369684019925, 103.877365680584)",5
MYCYCLE LOTS,L0041,LORONG 29 GEYLANG,1.31396040812161,103.885623503753,"(1.31396040812161, 103.885623503753)",5
MYCYCLE LOTS,F0030,FARLEIGH AVENUE,1.36469860933329,103.865448571666,"(1.36469860933329, 103.865448571666)",3
MYCYCLE LOTS,J0017,JOO CHIAT ROAD OFF STREET,1.30859280159493,103.903152553495,"(1.30859280159493, 103.903152553495)",36
MYCYCLE LOTS,L0014,LORONG 7 GEYLANG,1.31213859168057,103.875948878522,"(1.31213859168057, 103.875948878522)",3
MYCYCLE LOTS,C0147,CHANGI ROAD / JALAN WAKAFF OFF STREET,1.31858631743809,103.910740332916,"(1.31858631743809, 103.910740332916)",3
MYCYCLE LOTS,E0024,EAST COAST PARK E2 OFF STREET,1.306973785207,103.935499150529,"(1.306973785207, 103.935499150529)",38
MYCYCLE LOTS,S0097,SENOKO AVENUE,1.46915093423214,103.808362273385,"(1.46915093423214, 103.808362273385)",4
MYCYCLE LOTS,S0092,SENOKO SOUTH ROAD,1.4550166696971,103.801871917335,"(1.4550166696971, 103.801871917335)",6
MYCYCLE LOTS,U0042,UPPER CHANGI ROAD / BEDOK ROAD OFF STREET,1.33196112594193,103.94684922048,"(1.33196112594193, 103.94684922048)",10
MYCYCLE LOTS,T0129,TANJONG KATONG COMPLEX,1.31588703548497,103.895119017271,"(1.31588703548497, 103.895119017271)",72
MYCYCLE LOTS,N0016,NEYTHAL ROAD,1.32509280872563,103.69929503923,"(1.32509280872563, 103.69929503923)",5
MYCYCLE LOTS,S0141,SERVICE ROAD OFF UPPER EAST COAST ROAD,1.31291450229082,103.925999274542,"(1.31291450229082, 103.925999274542)",12
MYCYCLE LOTS,L0104,LORONG BEKUKONG OFF STREET,1.38994751246833,103.987593981204,"(1.38994751246833, 103.987593981204)",28
MYCYCLE LOTS,S0161,SEMBAWANG ROAD OFF STREET,1.44232814259679,103.823407524978,"(1.44232814259679, 103.823407524978)",12
MYCYCLE LOTS,B0032,BUKIT TIMAH MARKET OFF STREET,1.33897272654246,103.776650734195,"(1.33897272654246, 103.776650734195)",31
MYCYCLE LOTS,P0109,PASIR RIS PARK CAR PARK E OFF STREET,1.3847088814172,103.943614402109,"(1.3847088814172, 103.943614402109)",10
MYCYCLE LOTS,M0078,MARITIME SQUARE D OFF STREET,1.26604066759661,103.820257209413,"(1.26604066759661, 103.820257209413)",400
MYCYCLE LOTS,M0059,MACKENZIE ROAD B OFF STREET,1.30528093211079,103.848217932127,"(1.30528093211079, 103.848217932127)",33
MYCYCLE LOTS,C0156,CHANGI BEACH CAR PARK 6,1.38400933224126,104.001127095349,"(1.38400933224126, 104.001127095349)",2
MYCYCLE LOTS,J0055,JALAN SEH CHUAN OFF STREET,1.34140013326632,103.77528858989,"(1.34140013326632, 103.77528858989)",24
MYCYCLE LOTS,O0028,OUTRAM ROAD OFF STREET,1.28461099815994,103.835487070768,"(1.28461099815994, 103.835487070768)",6
MYCYCLE LOTS,P0048,PEARL BANK OFF STREET,1.28348305833574,103.840632884366,"(1.28348305833574, 103.840632884366)",14
MYCYCLE LOTS,M0058,MACPHERSON ROAD,1.3320996156343,103.882788660338,"(1.3320996156343, 103.882788660338)",8
MYCYCLE LOTS,S0130,SERVICE ROAD OFF GENTING LANE,1.32353663162202,103.877662890752,"(1.32353663162202, 103.877662890752)",3
MYCYCLE LOTS,M0050,MND COMPLEX (SURFACE),1.2798282064951,103.845639128383,"(1.2798282064951, 103.845639128383)",44
